data type,feature vector,target,d success,o success,d weights,o weights,d ratios,o ratios,d score,o score,d time,o time
f sized_list,uni_len,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",False,False,"(25, 75)","(109, 563)","(0.25)","(0.25)",537.300,151.705,0.001,7.813
f sized_list,len,"5.000",False,True,"(25, 75)","(91, 608)","(0.25)","(0.25)",2.321,0.005,0.002,7.510
f depth_bst,h_bal,"0.300",False,True,"(0, 100)","(13, 1379)","(0.0)","(0.0)",0.107,0.000,0.005,17.805
f depth_bst,stick,"0.500",False,False,"(50, 50)","(617, 645)","(0.5)","(0.5)",0.138,0.109,0.004,19.966
f depth_bst,stick,"0.800",False,False,"(50, 50)","(907, 994)","(0.5)","(0.5)",0.450,0.412,0.004,14.763
f depth_bst,h_bal,"2.000",False,False,"(25, 75)","(398, 1067)","(0.25)","(0.25)",0.622,0.494,0.004,22.693
f depth_bst,uni_height,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",False,False,"(50, 50)","(345, 449)","(0.5)","(0.5)",810.221,458.165,0.004,17.684
f depth_tree,h_bal,"1.500",False,True,"(25, 75)","(171, 394)","(0.25)","(0.25)",0.266,0.037,0.006,23.367
f depth_tree,h_bal,"0.300",False,True,"(75, 25)","(859, 382)","(0.75)","(0.75)",0.152,0.000,0.005,23.107
f depth_tree,height,"3.000",False,True,"(25, 75)","(437, 988)","(0.25)","(0.25)",0.559,0.000,0.007,14.803
f depth_tree,stick,"0.500",False,False,"(50, 50)","(864, 797)","(0.5)","(0.5)",0.193,0.122,0.004,23.792
f depth_tree,stick,"0.800",False,False,"(50, 50)","(864, 797)","(0.5)","(0.5)",0.478,0.122,0.005,23.792
f depth_tree,h_bal,"2.000",False,False,"(25, 75)","(208, 500)","(0.25)","(0.25)",0.772,0.518,0.005,20.325
f depth_tree,uni_height,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",False,False,"(50, 50)","(271, 322)","(0.5)","(0.5)",835.445,709.085,0.005,16.133
f even_list,uni_len,"(1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000, 11.000)",False,False,"(25, 75)","(63, 323)","(0.25)","(0.25)",579.276,161.496,0.001,8.439
f even_list,len,"5.000",False,True,"(25, 75)","(166, 782)","(0.25)","(0.25)",1.244,0.004,0.001,6.410
f rb_tree,black,"0.200",False,False,"(0, 100, 100, 0)","(11, 705, 937, 4)","(0.0, 1.0)","(0.0, 1.0)",0.133,0.136,0.022,28.686
f rb_tree,min_black,"0.200",False,False,"(0, 100, 100, 0)","(5, 649, 824, 23)","(0.0, 1.0)","(0.0, 1.0)",0.133,0.136,0.022,31.310
f rb_tree,uni_height,"(2.000, 3.000, 4.000)",False,False,"(75, 25, 25, 75)","(465, 86, 121, 306)","(0.75, 0.25)","(0.75, 0.25)",129.366,38.040,0.023,26.976
p depth_bst,stick,"0.500",False,True,"(25, 75, 100, 0)","(27, 85, 244, 51)","(0.25, 1.0)","(0.25, 1.0)",0.142,0.091,0.018,17.795
p depth_bst,stick,"0.800",False,False,"(50, 50, 75, 25)","(255, 468, 864, 102)","(0.5, 0.75)","(0.5, 0.75)",0.446,0.393,0.017,22.231
p depth_bst,h_bal,"2.000",False,False,"(0, 100, 100, 0)","(2, 775, 1139, 149)","(0.0, 1.0)","(0.0, 1.0)",0.571,0.442,0.020,19.883
p depth_bst,height,"5.000",True,False,"(0, 100, 0, 100)","(2, 775, 1139, 149)","(0.0, 0.0)","(0.0, 0.0)",0.000,0.442,0.020,19.883
p depth_bst,uni_height,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",False,False,"(25, 75, 100, 0)","(293, 611, 517, 66)","(0.25, 1.0)","(0.25, 1.0)",399.137,374.969,0.019,19.359
p depth_tree,height,"3.000",False,True,"(25, 75, 50, 50)","(182, 648, 893, 934)","(0.25, 0.5)","(0.25, 0.5)",0.215,0.000,0.023,29.475
p depth_tree,stick,"0.500",False,False,"(25, 75, 100, 0)","(598, 767, 544, 168)","(0.25, 1.0)","(0.25, 1.0)",0.143,0.107,0.020,22.481
p depth_tree,stick,"0.800",False,False,"(50, 50, 75, 25)","(632, 743, 939, 628)","(0.5, 0.75)","(0.5, 0.75)",0.439,0.426,0.021,21.884
p depth_tree,h_bal,"2.000",False,False,"(0, 100, 100, 0)","(67, 254, 453, 605)","(0.0, 1.0)","(0.0, 1.0)",0.739,0.496,0.023,13.184
p depth_tree,uni_height,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",False,False,"(25, 75, 100, 0)","(85, 365, 720, 33)","(0.25, 1.0)","(0.25, 1.0)",615.137,369.305,0.022,16.393
p even_list,len,"5.000",False,True,"(25, 75, 0, 100)","(27, 224, 203, 195)","(0.25, 0.0)","(0.25, 0.0)",0.731,0.048,0.008,6.866
p sized_list_1_const,uni_len,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",False,False,"(0, 100, 100)","(2, 382, 487)",,,52.904,2.725,0.006,9.567
p sized_list_1_const,len,"5.000",False,True,"(0, 100, 100)","(90, 873, 341)",,,0.531,0.002,0.005,5.241
