data type,feature vector,target,d success,o success,d weights,o weights,d ratios,o ratios,d score,o score,d time,o time
f sized_list,nil,"0.100",False,True,"(12, 88)","(96, 786)","(0.12)","(0.12)",0.025,0.000,0.003,5.228
f sized_list,uni_len,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",False,False,"(17, 83)","(109, 563)","(0.17)","(0.17)",285.488,151.705,0.003,7.813
f sized_list,len,"5.000",False,False,"(14, 86)","(91, 608)","(0.14)","(0.14)",0.064,0.005,0.004,7.510
f depth_bst,h_bal,"0.300",False,True,"(0, 100)","(13, 1379)","(0.0)","(0.0)",0.107,0.000,0.011,17.805
f depth_bst,stick,"0.500",False,False,"(53, 47)","(617, 645)","(0.53)","(0.53)",0.167,0.109,0.010,19.966
f depth_bst,stick,"0.800",False,False,"(50, 50)","(907, 994)","(0.5)","(0.5)",0.434,0.412,0.009,14.763
f depth_bst,h_bal,"2.000",False,False,"(30, 70)","(398, 1067)","(0.3)","(0.3)",0.680,0.494,0.010,22.693
f depth_bst,stick,"0.100",False,True,"(86, 14)","(1051, 126)","(0.86)","(0.86)",0.042,0.000,0.010,25.682
f depth_bst,uni_height,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",False,False,"(50, 50)","(345, 449)","(0.5)","(0.5)",786.329,458.165,0.010,17.684
f depth_tree,h_bal,"1.500",False,False,"(30, 70)","(171, 394)","(0.3)","(0.3)",0.236,0.037,0.013,23.367
f depth_tree,h_bal,"0.300",False,True,"(86, 14)","(859, 382)","(0.86)","(0.86)",0.260,0.000,0.012,23.107
f depth_tree,height,"3.000",False,True,"(28, 71)","(437, 988)","(0.283)","(0.283)",0.149,0.000,0.013,14.803
f depth_tree,stick,"0.500",False,False,"(53, 47)","(864, 797)","(0.53)","(0.53)",0.191,0.122,0.010,23.792
f depth_tree,stick,"0.800",False,False,"(53, 47)","(864, 797)","(0.53)","(0.53)",0.471,0.122,0.011,23.792
f depth_tree,h_bal,"2.000",False,False,"(28, 71)","(208, 500)","(0.283)","(0.283)",0.705,0.518,0.013,20.325
f depth_tree,stick,"0.100",False,True,"(12, 88)","(860, 95)","(0.12)","(0.12)",0.018,0.000,0.010,15.190
f depth_tree,uni_height,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",False,False,"(53, 47)","(271, 322)","(0.53)","(0.53)",1023.545,709.085,0.012,16.133
f even_list,nil,"0.100",False,False,"(100, 0)","(640, 619)","(1.0)","(1.0)",0.100,0.100,0.004,5.711
f even_list,uni_len,"(1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000, 11.000)",False,False,"(14, 86)","(63, 323)","(0.14)","(0.14)",276.996,161.496,0.003,8.439
f even_list,len,"5.000",False,False,"(17, 83)","(166, 782)","(0.17)","(0.17)",0.117,0.004,0.004,6.410
f rb_tree,black,"0.200",False,False,"(0, 100, 100, 0)","(11, 705, 937, 4)","(0.0, 1.0)","(0.0, 1.0)",0.133,0.136,0.083,28.686
f rb_tree,min_black,"0.200",False,False,"(0, 100, 100, 0)","(5, 649, 824, 23)","(0.0, 1.0)","(0.0, 1.0)",0.133,0.136,0.081,31.310
f rb_tree,black,"0.400",False,True,"(12, 88, 53, 47)","(192, 773, 480, 188)","(0.12, 0.53)","(0.12, 0.53)",0.001,0.000,0.081,30.159
f rb_tree,uni_height,"(2.000, 3.000, 4.000)",False,False,"(86, 14, 28, 71)","(465, 86, 121, 306)","(0.86, 0.283)","(0.86, 0.283)",103.170,38.040,0.086,26.976
f rb_tree,black,"0.600",False,True,"(50, 50, 14, 86)","(516, 246, 294, 232)","(0.5, 0.14)","(0.5, 0.14)",0.007,0.000,0.081,46.175
f rb_tree,black,"0.333",True,False,"(0, 100, 100, 0)","(5, 851, 669, 95)","(0.0, 1.0)","(0.0, 1.0)",0.000,0.008,0.081,34.728
u sized_list,nil,"0.100",False,True,"(12, 88, 30, 70)","(18, 159, 644, 693)","(0.12, 0.3)","(0.12, 0.3)",0.007,0.000,0.023,4.766
u sized_list,uni_len,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",False,False,"(17, 83, 17, 83)","(91, 461, 151, 691)","(0.17, 0.17)","(0.17, 0.17)",212.448,163.765,0.025,5.547
u sized_list,len,"5.000",False,False,"(0, 100, 28, 71)","(4, 680, 403, 834)","(0.0, 0.283)","(0.0, 0.283)",0.025,0.468,0.026,5.051
u depth_bst,h_bal,"0.300",False,True,"(12, 88, 100, 0, 86, 14)","(735, 282, 912, 519, 942, 827)","(0.12, 1.0, 0.86)","(0.12, 1.0, 0.86)",0.003,0.000,0.725,15.626
u depth_bst,stick,"0.800",False,False,"(17, 83, 86, 14, 100, 0)","(287, 626, 425, 4, 577, 63)","(0.17, 0.86, 1.0)","(0.17, 0.86, 1.0)",0.003,0.102,0.632,16.754
u depth_bst,h_bal,"2.000",False,False,"(14, 86, 28, 71, 86, 14)","(298, 996, 365, 1103, 844, 127)","(0.14, 0.283, 0.86)","(0.14, 0.283, 0.86)",0.009,0.001,0.729,15.354
u depth_bst,height,"5.000",True,False,"(0, 100, 0, 100, 0, 100)","(231, 577, 42, 924, 15, 179)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",0.000,0.002,0.707,17.862
u depth_bst,uni_height,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",False,False,"(30, 70, 100, 0, 30, 70)","(384, 834, 950, 35, 156, 630)","(0.3, 1.0, 0.3)","(0.3, 1.0, 0.3)",260.177,228.665,0.714,16.366
u depth_tree,h_bal,"1.500",False,True,"(28, 71, 50, 50, 0, 100)","(506, 1051, 221, 557, 368, 136)","(0.283, 0.5, 0.0)","(0.283, 0.5, 0.0)",0.002,0.000,0.830,19.935
u depth_tree,h_bal,"0.300",False,True,"(14, 86, 100, 0, 86, 14)","(94, 59, 800, 308, 453, 76)","(0.14, 1.0, 0.86)","(0.14, 1.0, 0.86)",0.004,0.000,0.840,15.508
u depth_tree,height,"3.000",False,True,"(17, 83, 53, 47, 53, 47)","(47, 321, 936, 726, 700, 465)","(0.17, 0.53, 0.53)","(0.17, 0.53, 0.53)",0.005,0.000,0.803,14.419
u depth_tree,stick,"0.800",False,True,"(14, 86, 86, 14, 100, 0)","(32, 250, 748, 232, 914, 36)","(0.14, 0.86, 1.0)","(0.14, 0.86, 1.0)",0.001,0.000,0.719,9.934
u depth_tree,h_bal,"2.000",False,True,"(0, 100, 30, 70, 50, 50)","(1, 500, 494, 412, 209, 404)","(0.0, 0.3, 0.5)","(0.0, 0.3, 0.5)",0.002,0.000,0.834,14.212
u depth_tree,stick,"0.100",True,False,"(86, 14, 50, 50, 53, 47)","(85, 10, 391, 42, 150, 394)","(0.86, 0.5, 0.53)","(0.86, 0.5, 0.53)",0.000,0.001,0.703,18.445
u depth_tree,uni_height,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",False,False,"(30, 70, 86, 14, 50, 50)","(183, 392, 366, 51, 900, 934)","(0.3, 0.86, 0.5)","(0.3, 0.86, 0.5)",475.817,424.157,0.802,14.747
u even_list,nil,"0.100",False,False,"(100, 0, 100, 0)","(38, 114, 509, 177)","(1.0, 1.0)","(1.0, 1.0)",0.100,0.100,0.026,4.982
u even_list,uni_len,"(1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000, 11.000)",False,False,"(14, 86, 17, 83)","(57, 303, 121, 617)","(0.14, 0.17)","(0.14, 0.17)",211.106,168.976,0.027,6.930
u even_list,len,"5.000",False,True,"(28, 71, 0, 100)","(310, 928, 60, 573)","(0.283, 0.0)","(0.283, 0.0)",0.046,0.000,0.028,5.299
