data type,feature vector,succcess,weights,ratios,#weights,target,end score,time
frequency sized_list,min_len,True,"(700, 1)","[0.9985734664764622]",2,"5.000",-5.000,0.014
frequency sized_list,nil,False,"(100, 900)","[0.1]",2,"0.100",0.008,0.014
frequency sized_list,uni_len,False,"(200, 1000)","[0.16666666666666666]",2,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",221.534,0.014
frequency sized_list,min_nil,True,"(1, 900)","[0.0011098779134295228]",2,"0.100",-0.100,0.013
frequency sized_list,len,False,"(100, 700)","[0.125]",2,"5.000",0.071,0.013
frequency depth_bst,min_height,True,"(1000, 1)","[0.999000999000999]",2,"3.000",-3.000,0.042
frequency depth_bst,h_bal,False,"(1, 100)","[0.009900990099009901]",2,"0.300",0.013,0.044
frequency depth_bst,stick,False,"(400, 600)","[0.4]",2,"0.500",0.123,0.038
frequency depth_bst,stick,False,"(100, 100)","[0.5]",2,"0.800",0.438,0.038
frequency depth_bst,h_bal,False,"(200, 500)","[0.2857142857142857]",2,"2.000",0.570,0.043
frequency depth_bst,height,True,"(1, 900)","[0.0011098779134295228]",2,"5.000",0.000,0.044
frequency depth_bst,min_stick,True,"(900, 1)","[0.9988901220865705]",2,"0.100",-0.100,0.038
frequency depth_bst,stick,False,"(1000, 100)","[0.9090909090909091]",2,"0.100",0.007,0.038
frequency depth_bst,uni_height,False,"(700, 1000)","[0.4117647058823529]",2,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",648.653,0.043
frequency depth_tree,h_bal,False,"(400, 1000)","[0.2857142857142857]",2,"1.500",0.097,0.051
frequency depth_tree,min_height,True,"(1000, 1)","[0.999000999000999]",2,"3.000",-3.000,0.049
frequency depth_tree,h_bal,False,"(900, 400)","[0.6923076923076923]",2,"0.300",0.008,0.050
frequency depth_tree,height,False,"(100, 200)","[0.3333333333333333]",2,"3.000",0.061,0.054
frequency depth_tree,stick,False,"(800, 1000)","[0.4444444444444444]",2,"0.500",0.149,0.044
frequency depth_tree,stick,False,"(500, 500)","[0.5]",2,"0.800",0.454,0.044
frequency depth_tree,h_bal,False,"(300, 700)","[0.3]",2,"2.000",0.642,0.050
frequency depth_tree,min_stick,True,"(1000, 1)","[0.999000999000999]",2,"0.100",-0.100,0.044
frequency depth_tree,stick,False,"(100, 800)","[0.1111111111111111]",2,"0.100",0.003,0.056
frequency depth_tree,uni_height,False,"(600, 700)","[0.46153846153846156]",2,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",785.549,0.048
frequency even_list,min_len,True,"(1000, 1)","[0.999000999000999]",2,"5.000",-3.999,0.016
frequency even_list,nil,False,"(1000, 1000)","[0.5]",2,"0.100",0.100,0.016
frequency even_list,min_nil,True,"(1000, 1000)","[0.5]",2,"0.100",-0.100,0.015
frequency even_list,uni_len,False,"(100, 500)","[0.16666666666666666]",2,"(1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000, 11.000)",226.066,0.016
frequency even_list,len,False,"(200, 1000)","[0.16666666666666666]",2,"5.000",0.091,0.016
frequency rb_tree,black,False,"(1, 900, 800, 1)","[0.0011098779134295228, 0.9987515605493134]",4,"0.200",0.133,6.640
frequency rb_tree,min_black,False,"(1, 1000, 1000, 1)","[0.000999000999000999, 0.999000999000999]",4,"0.200",0.133,6.640
frequency rb_tree,black,True,"(300, 700, 200, 1)","[0.3, 0.9950248756218906]",4,"0.400",0.000,6.553
frequency rb_tree,uni_height,False,"(1000, 200, 300, 700)","[0.8333333333333334, 0.3]",4,"(2.000, 3.000, 4.000)",41.976,6.802
frequency rb_tree,black,True,"(400, 400, 100, 700)","[0.5, 0.125]",4,"0.600",0.000,6.614
frequency rb_tree,black,True,"(1, 1000, 700, 1)","[0.000999000999000999, 0.9985734664764622]",4,"0.333",0.000,6.589
parametrized sized_list,min_len,True,"(1000, 1, 1000, 1)","[0.999000999000999, 0.999000999000999]",4,"5.000",-5.000,3.294
parametrized sized_list,nil,True,"(100, 1000, 200, 1000)","[0.09090909090909091, 0.16666666666666666]",4,"0.100",0.000,3.211
parametrized sized_list,uni_len,True,"(1, 1000, 900, 100)","[0.000999000999000999, 0.9]",4,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",-15.450,3.495
parametrized sized_list,min_nil,True,"(1, 1000, 1, 1000)","[0.000999000999000999, 0.000999000999000999]",4,"0.100",-0.100,3.238
parametrized sized_list,len,True,"(100, 1000, 400, 700)","[0.09090909090909091, 0.36363636363636365]",4,"5.000",0.000,3.287
parametrized depth_bst,min_height,True,"(1000, 1, 500, 1)","[0.999000999000999, 0.998003992015968]",4,"3.000",-3.000,9.278
parametrized depth_bst,h_bal,True,"(1000, 400, 300, 400)","[0.7142857142857143, 0.42857142857142855]",4,"0.300",0.000,9.483
parametrized depth_bst,stick,False,"(100, 400, 1000, 200)","[0.2, 0.8333333333333334]",4,"0.500",0.076,8.599
parametrized depth_bst,stick,False,"(1, 200, 1000, 1)","[0.004975124378109453, 0.999000999000999]",4,"0.800",0.384,8.678
parametrized depth_bst,h_bal,False,"(1, 500, 600, 1)","[0.001996007984031936, 0.9983361064891847]",4,"2.000",0.401,9.567
parametrized depth_bst,height,True,"(1, 1000, 1, 900)","[0.000999000999000999, 0.0011098779134295228]",4,"5.000",0.000,9.438
parametrized depth_bst,min_stick,True,"(1000, 1, 900, 1)","[0.999000999000999, 0.9988901220865705]",4,"0.100",-0.100,8.588
parametrized depth_bst,stick,True,"(1000, 100, 100, 100)","[0.9090909090909091, 0.5]",4,"0.100",0.000,8.636
parametrized depth_bst,uni_height,False,"(1, 400, 1000, 1)","[0.0024937655860349127, 0.999000999000999]",4,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",162.005,9.539
parametrized depth_tree,h_bal,False,"(1, 500, 800, 1)","[0.001996007984031936, 0.9987515605493134]",4,"1.500",0.003,10.581
parametrized depth_tree,min_height,True,"(1000, 1, 200, 1)","[0.999000999000999, 0.9950248756218906]",4,"3.000",-3.000,10.248
parametrized depth_tree,h_bal,True,"(1000, 500, 500, 100)","[0.6666666666666666, 0.8333333333333334]",4,"0.300",0.000,10.572
parametrized depth_tree,height,True,"(400, 900, 400, 500)","[0.3076923076923077, 0.4444444444444444]",4,"3.000",0.000,10.291
parametrized depth_tree,stick,False,"(1, 200, 700, 100)","[0.004975124378109453, 0.875]",4,"0.500",0.096,9.163
parametrized depth_tree,stick,False,"(1, 200, 700, 1)","[0.004975124378109453, 0.9985734664764622]",4,"0.800",0.382,9.219
parametrized depth_tree,h_bal,False,"(1, 400, 700, 1)","[0.0024937655860349127, 0.9985734664764622]",4,"2.000",0.476,10.553
parametrized depth_tree,min_stick,True,"(1000, 1, 1000, 1)","[0.999000999000999, 0.999000999000999]",4,"0.100",-0.100,9.472
parametrized depth_tree,stick,True,"(1000, 100, 800, 200)","[0.9090909090909091, 0.8]",4,"0.100",0.000,9.502
parametrized depth_tree,uni_height,False,"(1, 200, 500, 1)","[0.004975124378109453, 0.998003992015968]",4,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",292.853,10.418
parametrized even_list,min_len,True,"(1000, 1, 900, 1)","[0.999000999000999, 0.9988901220865705]",4,"5.000",-4.000,3.861
parametrized even_list,nil,False,"(1000, 1000, 1000, 1000)","[0.5, 0.5]",4,"0.100",0.100,3.768
parametrized even_list,min_nil,True,"(1000, 1000, 1000, 1000)","[0.5, 0.5]",4,"0.100",-0.100,3.757
parametrized even_list,uni_len,True,"(1, 800, 800, 100)","[0.0012484394506866417, 0.8888888888888888]",4,"(1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000, 11.000)",-19.190,4.006
parametrized even_list,len,False,"(200, 1000, 200, 200)","[0.16666666666666666, 0.5]",4,"5.000",0.004,3.910
parametrized sized_list_1_const,min_len,True,"(800, 1, 1)","[0.16666666666666666, 0.5]",2,"5.000",-5.000,0.277
parametrized sized_list_1_const,nil,True,"(1, 800, 900)","[0.16666666666666666, 0.5]",2,"0.100",0.000,0.277
parametrized sized_list_1_const,uni_len,True,"(1, 800, 1000)","[0.16666666666666666, 0.5]",2,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",-0.182,0.292
parametrized sized_list_1_const,min_nil,True,"(1, 1000, 1)","[0.16666666666666666, 0.5]",2,"0.100",-0.100,0.275
parametrized sized_list_1_const,len,False,"(1, 700, 800)","[0.16666666666666666, 0.5]",2,"5.000",0.008,0.281
unrolled sized_list,min_len,True,"(1000, 1, 1000, 900)","[0.999000999000999, 0.5263157894736842]",2,"5.000",-5.000,2.359
unrolled sized_list,nil,True,"(100, 1000, 600, 100)","[0.09090909090909091, 0.8571428571428571]",2,"0.100",0.000,2.293
unrolled sized_list,uni_len,False,"(100, 600, 200, 900)","[0.14285714285714285, 0.18181818181818182]",2,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",181.142,2.454
unrolled sized_list,min_nil,True,"(1, 1000, 1000, 1000)","[0.000999000999000999, 0.5]",2,"0.100",-0.100,2.274
unrolled sized_list,len,False,"(100, 700, 100, 700)","[0.125, 0.125]",2,"5.000",0.001,2.370
unrolled even_list,min_len,True,"(1000, 1, 1000, 900)","[0.999000999000999, 0.5263157894736842]",2,"5.000",-4.000,2.916
unrolled even_list,nil,False,"(1000, 1000, 1000, 1000)","[0.5, 0.5]",2,"0.100",0.100,2.721
unrolled even_list,min_nil,True,"(1000, 1000, 1000, 1000)","[0.5, 0.5]",2,"0.100",-0.100,2.727
unrolled even_list,uni_len,False,"(100, 600, 100, 400)","[0.14285714285714285, 0.2]",2,"(1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000, 11.000)",183.122,2.986
unrolled even_list,len,False,"(1, 800, 500, 900)","[0.0012484394506866417, 0.35714285714285715]",2,"5.000",0.003,2.861
