data type,feature vector,succcess,weights,ratios,#weights,target,end score,time
f sized_list,min_len,True,"(100, 0)","[1.0]",2,"5.000",-5.000,0.004
f sized_list,nil,False,"(12, 88)","[0.12]",2,"0.100",0.017,0.003
f sized_list,uni_len,False,"(17, 83)","[0.17]",2,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",224.526,0.004
f sized_list,min_nil,True,"(0, 100)","[0.0]",2,"0.100",-0.100,0.003
f sized_list,len,False,"(14, 86)","[0.14]",2,"5.000",0.107,0.003
f depth_bst,min_height,True,"(100, 0)","[1.0]",2,"3.000",-3.000,0.010
f depth_bst,h_bal,False,"(0, 100)","[0.0]",2,"0.300",0.103,0.011
f depth_bst,stick,False,"(53, 47)","[0.53]",2,"0.500",0.145,0.009
f depth_bst,stick,False,"(50, 50)","[0.5]",2,"0.800",0.429,0.009
f depth_bst,h_bal,False,"(30, 70)","[0.3]",2,"2.000",0.637,0.011
f depth_bst,height,True,"(0, 100)","[0.0]",2,"5.000",0.000,0.011
f depth_bst,min_stick,True,"(100, 0)","[1.0]",2,"0.100",-0.100,0.009
f depth_bst,stick,False,"(12, 88)","[0.12]",2,"0.100",0.035,0.009
f depth_bst,uni_height,False,"(50, 50)","[0.5]",2,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",863.105,0.010
f depth_tree,h_bal,False,"(30, 70)","[0.3]",2,"1.500",0.211,0.013
f depth_tree,min_height,True,"(100, 0)","[1.0]",2,"3.000",-3.000,0.012
f depth_tree,h_bal,False,"(100, 0)","[1.0]",2,"0.300",0.300,0.013
f depth_tree,height,False,"(28, 71)","[0.283]",2,"3.000",0.161,0.013
f depth_tree,stick,False,"(53, 47)","[0.53]",2,"0.500",0.178,0.011
f depth_tree,stick,False,"(50, 50)","[0.5]",2,"0.800",0.466,0.010
f depth_tree,h_bal,False,"(30, 70)","[0.3]",2,"2.000",0.683,0.013
f depth_tree,min_stick,True,"(100, 0)","[1.0]",2,"0.100",-0.100,0.011
f depth_tree,stick,False,"(12, 88)","[0.12]",2,"0.100",0.013,0.011
f depth_tree,uni_height,False,"(50, 50)","[0.5]",2,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",1009.373,0.011
f even_list,min_len,True,"(100, 0)","[1.0]",2,"5.000",-4.000,0.003
f even_list,nil,False,"(100, 0)","[1.0]",2,"0.100",0.100,0.003
f even_list,min_nil,True,"(100, 0)","[1.0]",2,"0.100",-0.100,0.004
f even_list,uni_len,False,"(17, 83)","[0.17]",2,"(1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000, 11.000)",190.360,0.004
f even_list,len,False,"(17, 83)","[0.17]",2,"5.000",0.271,0.003
f rb_tree,black,False,"(0, 100, 100, 0)","[0.0, 1.0]",4,"0.200",0.133,0.065
f rb_tree,min_black,False,"(0, 100, 100, 0)","[0.0, 1.0]",4,"0.200",0.133,0.067
f rb_tree,black,False,"(12, 88, 50, 50)","[0.12, 0.5]",4,"0.400",0.001,0.065
f rb_tree,uni_height,False,"(53, 47, 28, 71)","[0.53, 0.283]",4,"(2.000, 3.000, 4.000)",366.066,0.071
f rb_tree,black,False,"(50, 50, 12, 88)","[0.5, 0.12]",4,"0.600",0.004,0.067
f rb_tree,black,True,"(0, 100, 100, 0)","[0.0, 1.0]",4,"0.333",0.000,0.066
u sized_list,min_len,True,"(100, 0, 100, 0)","[1.0, 1.0]",2,"5.000",-5.000,0.021
u sized_list,nil,False,"(12, 88, 30, 70)","[0.12, 0.3]",2,"0.100",0.002,0.022
u sized_list,uni_len,False,"(17, 83, 17, 83)","[0.17, 0.17]",2,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",232.072,0.022
u sized_list,min_nil,True,"(0, 100, 100, 0)","[0.0, 1.0]",2,"0.100",-0.100,0.021
u sized_list,len,False,"(0, 100, 28, 71)","[0.0, 0.283]",2,"5.000",0.020,0.022
u depth_bst,min_height,True,"(100, 0, 100, 0, 100, 0)","[1.0, 1.0, 1.0]",6,"3.000",-3.000,0.611
u depth_bst,h_bal,False,"(12, 88, 0, 100, 0, 100)","[0.12, 0.0, 0.0]",6,"0.300",0.073,0.650
u depth_bst,stick,True,"(12, 88, 53, 47, 50, 50)","[0.12, 0.53, 0.5]",6,"0.500",0.000,0.554
u depth_bst,stick,False,"(0, 100, 50, 50, 100, 0)","[0.0, 0.5, 1.0]",6,"0.800",0.002,0.546
u depth_bst,h_bal,False,"(14, 86, 30, 70, 100, 0)","[0.14, 0.3, 1.0]",6,"2.000",0.009,0.644
u depth_bst,height,True,"(0, 100, 0, 100, 0, 100)","[0.0, 0.0, 0.0]",6,"5.000",0.000,0.613
