data type,feature vector,succcess,weights,ratios,#weights,target,end score,time
f sized_list,min_len,True,"(100, 0)","[1.0]",2,"5.000",-5.000,0.003
f sized_list,nil,False,"(12, 88)","[0.12]",2,"0.100",0.025,0.003
f sized_list,uni_len,False,"(17, 83)","[0.17]",2,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",285.488,0.003
f sized_list,min_nil,True,"(0, 100)","[0.0]",2,"0.100",-0.100,0.004
f sized_list,len,False,"(14, 86)","[0.14]",2,"5.000",0.064,0.004
f depth_bst,min_height,True,"(100, 0)","[1.0]",2,"3.000",-3.000,0.011
f depth_bst,h_bal,False,"(0, 100)","[0.0]",2,"0.300",0.107,0.011
f depth_bst,stick,False,"(53, 47)","[0.53]",2,"0.500",0.167,0.010
f depth_bst,stick,False,"(50, 50)","[0.5]",2,"0.800",0.434,0.009
f depth_bst,h_bal,False,"(30, 70)","[0.3]",2,"2.000",0.680,0.010
f depth_bst,height,True,"(0, 100)","[0.0]",2,"5.000",0.000,0.011
f depth_bst,min_stick,True,"(100, 0)","[1.0]",2,"0.100",-0.100,0.009
f depth_bst,stick,False,"(86, 14)","[0.86]",2,"0.100",0.042,0.010
f depth_bst,uni_height,False,"(50, 50)","[0.5]",2,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",786.329,0.010
f depth_tree,h_bal,False,"(30, 70)","[0.3]",2,"1.500",0.236,0.013
f depth_tree,min_height,True,"(100, 0)","[1.0]",2,"3.000",-3.000,0.012
f depth_tree,h_bal,False,"(86, 14)","[0.86]",2,"0.300",0.260,0.012
f depth_tree,height,False,"(28, 71)","[0.283]",2,"3.000",0.149,0.013
f depth_tree,stick,False,"(53, 47)","[0.53]",2,"0.500",0.191,0.010
f depth_tree,stick,False,"(53, 47)","[0.53]",2,"0.800",0.471,0.011
f depth_tree,h_bal,False,"(28, 71)","[0.283]",2,"2.000",0.705,0.013
f depth_tree,min_stick,True,"(100, 0)","[1.0]",2,"0.100",-0.100,0.010
f depth_tree,stick,False,"(12, 88)","[0.12]",2,"0.100",0.018,0.010
f depth_tree,uni_height,False,"(53, 47)","[0.53]",2,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",1023.545,0.012
f even_list,min_len,True,"(100, 0)","[1.0]",2,"5.000",-4.000,0.003
f even_list,nil,False,"(100, 0)","[1.0]",2,"0.100",0.100,0.004
f even_list,min_nil,True,"(100, 0)","[1.0]",2,"0.100",-0.100,0.003
f even_list,uni_len,False,"(14, 86)","[0.14]",2,"(1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000, 11.000)",276.996,0.003
f even_list,len,False,"(17, 83)","[0.17]",2,"5.000",0.117,0.004
f rb_tree,black,False,"(0, 100, 100, 0)","[0.0, 1.0]",4,"0.200",0.133,0.083
f rb_tree,min_black,False,"(0, 100, 100, 0)","[0.0, 1.0]",4,"0.200",0.133,0.081
f rb_tree,black,False,"(12, 88, 53, 47)","[0.12, 0.53]",4,"0.400",0.001,0.081
f rb_tree,uni_height,False,"(86, 14, 28, 71)","[0.86, 0.283]",4,"(2.000, 3.000, 4.000)",103.170,0.086
f rb_tree,black,False,"(50, 50, 14, 86)","[0.5, 0.14]",4,"0.600",0.007,0.081
f rb_tree,black,True,"(0, 100, 100, 0)","[0.0, 1.0]",4,"0.333",0.000,0.081
u sized_list,min_len,True,"(100, 0, 100, 0)","[1.0, 1.0]",2,"5.000",-5.000,0.025
u sized_list,nil,False,"(12, 88, 30, 70)","[0.12, 0.3]",2,"0.100",0.007,0.023
u sized_list,uni_len,False,"(17, 83, 17, 83)","[0.17, 0.17]",2,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",212.448,0.025
u sized_list,min_nil,True,"(0, 100, 100, 0)","[0.0, 1.0]",2,"0.100",-0.100,0.023
u sized_list,len,False,"(0, 100, 28, 71)","[0.0, 0.283]",2,"5.000",0.025,0.026
u depth_bst,min_height,True,"(100, 0, 100, 0, 100, 0)","[1.0, 1.0, 1.0]",6,"3.000",-3.000,0.707
u depth_bst,h_bal,False,"(12, 88, 100, 0, 86, 14)","[0.12, 1.0, 0.86]",6,"0.300",0.003,0.725
u depth_bst,stick,True,"(14, 86, 50, 50, 53, 47)","[0.14, 0.5, 0.53]",6,"0.500",0.000,0.634
u depth_bst,stick,False,"(17, 83, 86, 14, 100, 0)","[0.17, 0.86, 1.0]",6,"0.800",0.003,0.632
