data type,feature vector,#bool_gen,#weights,target,start dist,end dist,start score,end score,time
sized_list,min_len,1,2,"5.000","1.011","0.008",-3.989,-4.992,4.762
sized_list,nil,1,2,"0.100","0.491","0.100",0.391,0.000,5.228
sized_list,min_nil,1,2,"0.100","0.505","0.000",0.405,-0.100,8.309
sized_list,uni_len,1,2,"10.000","(491.000, 244.000, 137.000, 75.000, 24.000, 13.000, 8.000, 4.000, 2.000, 2.000, 0.000)","(147.000, 122.000, 117.000, 85.000, 81.000, 80.000, 66.000, 62.000, 37.000, 45.000, 158.000)",2338.765,149.585,26.473
sized_list,uni_len,1,2,"10.000","(518.000, 239.000, 122.000, 54.000, 31.000, 23.000, 5.000, 5.000, 2.000, 0.000, 1.000)","(146.000, 143.000, 112.000, 86.000, 84.000, 90.000, 53.000, 57.000, 49.000, 37.000, 143.000)",2528.225,151.705,7.813
sized_list,len,1,2,"5.000","0.992","5.005",4.008,0.005,7.510
depth_bst,min_height,1,2,"3.000","1.524","0.001",-1.476,-2.999,21.297
depth_bst,h_bal,1,2,"0.300","0.809","0.300",0.509,0.000,17.805
depth_bst,stick,1,2,"0.500","0.354","0.391",0.146,0.109,19.966
depth_bst,uni_height,1,2,"9.000","(504.000, 144.000, 75.000, 55.000, 51.000, 171.000, 0.000, 0.000, 0.000, 0.000)","(383.000, 120.000, 104.000, 71.000, 63.000, 259.000, 0.000, 0.000, 0.000, 0.000)",1930.000,1324.768,59.117
depth_bst,stick,1,2,"0.800","0.348","0.388",0.452,0.412,14.763
depth_bst,h_bal,1,2,"2.000","0.810","1.506",1.190,0.494,22.693
depth_bst,height,1,2,"5.000","1.518","5.000",3.482,0.000,25.417
depth_bst,min_stick,1,2,"0.100","0.349","0.000",0.249,-0.100,15.508
depth_bst,stick,1,2,"0.100","0.321","0.100",0.221,0.000,25.682
depth_tree,h_bal,1,2,"1.500","0.890","1.463",0.610,0.037,23.367
depth_tree,min_height,1,2,"3.000","1.668","0.000",-1.332,-3.000,20.249
depth_tree,h_bal,1,2,"0.300","0.935","0.300",0.635,0.000,23.107
depth_tree,height,1,2,"3.000","1.530","3.000",1.470,0.000,14.803
depth_tree,stick,1,2,"0.500","0.350","0.378",0.150,0.122,23.792
depth_tree,stick,1,2,"0.800","0.374","0.372",0.426,0.428,16.259
depth_tree,uni_height,1,2,"5.000","(519.000, 120.000, 86.000, 56.000, 25.000, 194.000)","(414.000, 140.000, 76.000, 51.000, 34.000, 285.000)",850.178,596.178,56.799
depth_tree,uni_height,1,2,"5.000","(510.000, 112.000, 72.000, 43.000, 38.000, 225.000)","(393.000, 130.000, 67.000, 47.000, 38.000, 325.000)",846.138,612.988,16.487
depth_tree,min_stick,1,2,"0.100","0.304","0.001",0.204,-0.099,15.455
depth_tree,stick,1,2,"0.100","0.338","0.100",0.238,0.000,15.190
even_list,uni_len,1,2,"11.000","(0.000, 501.000, 249.000, 119.000, 72.000, 33.000, 15.000, 4.000, 2.000, 2.000, 2.000, 1.000)","(0.000, 151.000, 139.000, 109.000, 99.000, 84.000, 76.000, 66.000, 46.000, 47.000, 43.000, 140.000)",2740.473,244.309,9.139
even_list,min_len,1,2,"5.000","1.957","1.000",-3.043,-4.000,6.068
even_list,nil,1,2,"0.100","0.000","0.000",0.100,0.100,5.711
even_list,uni_len,1,2,"11.000","(0.000, 486.000, 243.000, 141.000, 63.000, 41.000, 15.000, 4.000, 5.000, 1.000, 1.000, 0.000)","(0.000, 162.000, 134.000, 90.000, 99.000, 80.000, 75.000, 72.000, 59.000, 52.000, 38.000, 139.000)",2601.367,238.743,29.996
even_list,min_nil,1,2,"0.100","0.000","0.000",-0.100,-0.100,6.580
even_list,len,1,2,"5.000","2.075","4.996",2.925,0.004,6.410
rb_tree,black,2,4,"0.200","0.523","0.336",0.323,0.136,28.686
rb_tree,min_black,2,4,"0.200","0.530","0.336",0.330,0.136,31.310
rb_tree,black,2,4,"0.400","0.533","0.400",0.133,0.000,30.159
rb_tree,uni_height,2,4,"5.000","(0.000, 0.000, 26.000, 248.000, 726.000, 0.000)","(0.000, 0.000, 265.000, 423.000, 312.000, 0.000)",2133.688,919.898,109.968
rb_tree,uni_height,2,4,"5.000","(0.000, 0.000, 26.000, 248.000, 726.000, 0.000)","(0.000, 0.000, 266.000, 445.000, 289.000, 0.000)",2133.688,948.918,29.176
rb_tree,black,2,4,"0.600","0.526","0.600",0.074,0.000,46.175
rb_tree,black,2,4,"0.333","0.534","0.341",0.201,0.008,34.728
