data type,feature vector,#bool_gen,#weights,target,start dist,end dist,start score,end score,time
sized_list,nil,1,2,"0.100","0.491","0.100",0.391,0.000,5.228
sized_list,uni_len,1,2,"10.000","(518.000, 239.000, 122.000, 54.000, 31.000, 23.000, 5.000, 5.000, 2.000, 0.000, 1.000)","(146.000, 143.000, 112.000, 86.000, 84.000, 90.000, 53.000, 57.000, 49.000, 37.000, 143.000)",2528.225,151.705,7.813
sized_list,len,1,2,"5.000","0.992","5.005",4.008,0.005,7.510
depth_bst,h_bal,1,2,"0.300","0.809","0.300",0.509,0.000,17.805
depth_bst,stick,1,2,"0.500","0.354","0.391",0.146,0.109,19.966
depth_bst,height,1,2,"5.000","1.518","5.000",3.482,0.000,25.417
depth_tree,h_bal,1,2,"1.500","0.890","1.463",0.610,0.037,23.367
depth_tree,height,1,2,"3.000","1.530","3.000",1.470,0.000,14.803
depth_tree,stick,1,2,"0.100","0.338","0.100",0.238,0.000,15.190
depth_tree,uni_height,1,2,"5.000","(510.000, 112.000, 72.000, 43.000, 38.000, 225.000)","(393.000, 130.000, 67.000, 47.000, 38.000, 325.000)",846.138,612.988,16.487
even_list,uni_len,1,2,"11.000","(0.000, 501.000, 249.000, 119.000, 72.000, 33.000, 15.000, 4.000, 2.000, 2.000, 2.000, 1.000)","(0.000, 151.000, 139.000, 109.000, 99.000, 84.000, 76.000, 66.000, 46.000, 47.000, 43.000, 140.000)",2740.473,244.309,9.139
even_list,len,1,2,"5.000","2.075","4.996",2.925,0.004,6.410
rb_tree,black,2,4,"0.400","0.533","0.400",0.133,0.000,30.159
rb_tree,uni_height,2,4,"5.000","(0.000, 0.000, 26.000, 248.000, 726.000, 0.000)","(0.000, 0.000, 266.000, 445.000, 289.000, 0.000)",2133.688,948.918,29.176
