data type,feature vector,#bool_gen,#weights,target,start dist,end dist,start score,end score,time
sized_list,min_len,1,2,"5.000","0.970","0.003",-4.030,-4.997,5.191
sized_list,nil,1,2,"0.100","0.491","0.100",0.391,0.000,4.766
sized_list,min_nil,1,2,"0.100","0.486","0.000",0.386,-0.100,4.325
sized_list,uni_len,1,2,"10.000","(554.000, 239.000, 110.000, 46.000, 25.000, 17.000, 7.000, 1.000, 0.000, 1.000, 0.000)","(149.000, 128.000, 131.000, 103.000, 83.000, 71.000, 66.000, 51.000, 43.000, 33.000, 142.000)",2872.505,163.765,5.547
sized_list,len,1,2,"5.000","0.958","4.532",4.042,0.468,5.051
depth_bst,min_height,3,6,"3.000","1.599","0.002",-1.401,-2.998,17.930
depth_bst,h_bal,3,6,"0.300","0.927","0.300",0.627,0.000,15.626
depth_bst,stick,3,6,"0.500","0.369","0.500",0.131,0.000,16.104
depth_bst,stick,3,6,"0.800","0.351","0.698",0.449,0.102,16.754
depth_bst,h_bal,3,6,"2.000","0.995","2.001",1.005,0.001,15.354
depth_bst,height,3,6,"5.000","1.629","4.998",3.371,0.002,17.862
depth_bst,min_stick,3,6,"0.100","0.344","0.000",0.244,-0.100,16.418
depth_bst,stick,3,6,"0.100","0.338","0.100",0.238,0.000,12.848
depth_tree,h_bal,3,6,"1.500","0.932","1.500",0.568,0.000,19.935
depth_tree,min_height,3,6,"3.000","1.605","0.002",-1.395,-2.998,13.872
depth_tree,h_bal,3,6,"0.300","0.940","0.300",0.640,0.000,15.508
depth_tree,height,3,6,"3.000","1.530","3.000",1.470,0.000,14.419
depth_tree,stick,3,6,"0.500","0.351","0.500",0.149,0.000,14.825
depth_tree,stick,3,6,"0.800","0.319","0.607",0.481,0.193,11.584
depth_tree,uni_height,3,6,"5.000","(519.000, 120.000, 86.000, 56.000, 25.000, 194.000)","(349.000, 216.000, 51.000, 89.000, 34.000, 261.000)",850.178,428.688,11.634
depth_tree,min_stick,3,6,"0.100","0.346","0.000",0.246,-0.100,13.799
depth_tree,stick,3,6,"0.100","0.332","0.099",0.232,0.001,18.445
even_list,uni_len,1,2,"11.000","(0.000, 479.000, 240.000, 157.000, 67.000, 28.000, 11.000, 8.000, 5.000, 3.000, 1.000, 1.000)","(0.000, 138.000, 138.000, 88.000, 125.000, 78.000, 86.000, 45.000, 66.000, 38.000, 43.000, 155.000)",2558.907,264.879,7.097
even_list,min_len,1,2,"5.000","1.968","1.004",-3.032,-3.996,5.424
even_list,nil,1,2,"0.100","0.000","0.000",0.100,0.100,4.982
even_list,min_nil,1,2,"0.100","0.000","0.000",-0.100,-0.100,5.413
even_list,len,1,2,"5.000","1.959","5.000",3.041,0.000,5.299
rb_tree,black,10,20,"0.200","0.526","0.369",0.326,0.169,28.505
rb_tree,min_black,10,20,"0.200","0.524","0.419",0.324,0.219,28.750
rb_tree,black,10,20,"0.400","0.530","0.412",0.130,0.012,30.139
rb_tree,uni_height,10,20,"5.000","(0.000, 0.000, 26.000, 248.000, 726.000, 0.000)","(0.000, 0.000, 314.000, 331.000, 355.000, 0.000)",2133.688,858.318,27.470
rb_tree,black,10,20,"0.600","0.531","0.600",0.069,0.000,28.201
rb_tree,black,10,20,"0.333","0.528","0.411",0.195,0.078,28.118
