iterations,restarts,score
20000,10,-8.755
30000,40,-1.035
10000,5,-7.975
10000,35,-2.215
40000,30,-8.895
40000,25,-8.695
10000,20,6.805
10000,30,-3.715
40000,35,-8.635
40000,20,-3.175
10000,25,-7.415
20000,15,4.105
10000,1,-5.595
30000,45,-8.295
30000,50,-5.175
40000,50,-7.835
40000,45,-3.695
10000,40,-6.735
50000,15,-7.135
30000,20,-7.815
30000,35,-9.035
30000,25,-7.295
30000,30,-6.175
10000,50,7.125
40000,40,-7.235
10000,45,-3.675
50000,10,-8.875
50000,35,-7.915
30000,5,-9.055
50000,20,-8.535
50000,1,-8.535
20000,45,-3.275
30000,15,-8.355
20000,50,-7.415
20000,40,-4.035
30000,10,21.325
50000,5,7.385
50000,30,-8.835
30000,1,26.825
50000,25,-3.295
20000,5,-8.335
20000,25,-8.595
20000,30,7.125
40000,1,-8.315
40000,10,-8.795
10000,15,-8.395
50000,40,-7.675
50000,50,-8.275
40000,15,-7.155
40000,5,3.185
10000,10,-8.875
50000,45,-8.595
20000,20,-9.195
20000,35,0.445
20000,1,-3.815
