data type,feature vector,target,d success,o success,d weights,o weights,d ratios,o ratios,d score,o score,d time,o time
f sized_list,nil,"0.100",False,True,"(100, 900)","(96, 786)","(0.1)","(0.1)",0.008,0.000,0.028,5.228
f sized_list,uni_len,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",False,False,"(200, 1000)","(109, 563)","(0.167)","(0.167)",221.534,151.705,0.028,7.813
f sized_list,len,"5.000",False,False,"(100, 700)","(91, 608)","(0.125)","(0.125)",0.071,0.005,0.028,7.510
f depth_bst,h_bal,"0.300",False,True,"(1, 100)","(13, 1379)","(0.01)","(0.01)",0.013,0.000,0.044,17.805
f depth_bst,stick,"0.500",False,False,"(400, 600)","(617, 645)","(0.4)","(0.4)",0.123,0.109,0.038,19.966
f depth_bst,stick,"0.800",False,False,"(100, 100)","(907, 994)","(0.5)","(0.5)",0.438,0.412,0.038,14.763
f depth_bst,h_bal,"2.000",False,False,"(200, 500)","(398, 1067)","(0.286)","(0.286)",0.570,0.494,0.043,22.693
f depth_bst,stick,"0.100",False,True,"(1000, 100)","(1051, 126)","(0.909)","(0.909)",0.007,0.000,0.038,25.682
f depth_bst,uni_height,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",False,False,"(700, 1000)","(345, 449)","(0.412)","(0.412)",648.653,458.165,0.043,17.684
f depth_tree,h_bal,"1.500",False,False,"(400, 1000)","(171, 394)","(0.286)","(0.286)",0.097,0.037,0.051,23.367
f depth_tree,h_bal,"0.300",False,True,"(900, 400)","(859, 382)","(0.692)","(0.692)",0.008,0.000,0.050,23.107
f depth_tree,height,"3.000",False,True,"(100, 200)","(437, 988)","(0.333)","(0.333)",0.061,0.000,0.054,14.803
f depth_tree,stick,"0.500",False,False,"(800, 1000)","(864, 797)","(0.444)","(0.444)",0.149,0.122,0.044,23.792
f depth_tree,stick,"0.800",False,False,"(500, 500)","(864, 797)","(0.5)","(0.5)",0.454,0.122,0.044,23.792
f depth_tree,h_bal,"2.000",False,False,"(300, 700)","(208, 500)","(0.3)","(0.3)",0.642,0.518,0.050,20.325
f depth_tree,stick,"0.100",False,True,"(100, 800)","(860, 95)","(0.111)","(0.111)",0.003,0.000,0.056,15.190
f depth_tree,uni_height,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",False,False,"(600, 700)","(271, 322)","(0.462)","(0.462)",785.549,709.085,0.048,16.133
f even_list,nil,"0.100",False,False,"(1000, 1000)","(640, 619)","(0.5)","(0.5)",0.100,0.100,0.016,5.711
f even_list,uni_len,"(1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000, 11.000)",False,False,"(100, 500)","(63, 323)","(0.167)","(0.167)",226.066,161.496,0.016,8.439
f even_list,len,"5.000",False,False,"(200, 1000)","(166, 782)","(0.167)","(0.167)",0.091,0.004,0.016,6.410
f rb_tree,black,"0.200",False,False,"(1, 900, 800, 1)","(11, 705, 937, 4)","(0.001, 0.999)","(0.001, 0.999)",0.133,0.136,6.640,28.686
f rb_tree,min_black,"0.200",False,False,"(1, 1000, 1000, 1)","(5, 649, 824, 23)","(0.001, 0.999)","(0.001, 0.999)",0.133,0.136,6.640,31.310
f rb_tree,uni_height,"(2.000, 3.000, 4.000)",False,False,"(1000, 200, 300, 700)","(465, 86, 121, 306)","(0.833, 0.3)","(0.833, 0.3)",41.976,38.040,6.802,26.976
f rb_tree,black,"0.333",True,False,"(1, 1000, 700, 1)","(5, 851, 669, 95)","(0.001, 0.999)","(0.001, 0.999)",0.000,0.008,6.589,34.728
p sized_list,len,"5.000",True,False,"(100, 1000, 400, 700)","(153, 1098, 86, 47)","(0.091, 0.364)","(0.091, 0.364)",0.000,0.005,3.287,5.754
p depth_bst,stick,"0.500",False,False,"(100, 400, 1000, 200)","(27, 85, 244, 51)","(0.2, 0.833)","(0.2, 0.833)",0.076,0.091,8.599,17.795
