data type,feature vector,succcess,weights,ratios,#weights,target,end score,time
f sized_list,min_len,True,"(700, 1)","[0.999]",2,"5.000",-5.000,0.028
f sized_list,nil,False,"(100, 900)","[0.1]",2,"0.100",0.008,0.028
f sized_list,uni_len,False,"(200, 1000)","[0.167]",2,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",221.534,0.028
f sized_list,min_nil,True,"(1, 900)","[0.001]",2,"0.100",-0.100,0.027
f sized_list,len,False,"(100, 700)","[0.125]",2,"5.000",0.071,0.028
f depth_bst,min_height,True,"(1000, 1)","[0.999]",2,"3.000",-3.000,0.042
f depth_bst,h_bal,False,"(1, 100)","[0.01]",2,"0.300",0.013,0.044
f depth_bst,stick,False,"(400, 600)","[0.4]",2,"0.500",0.123,0.038
f depth_bst,stick,False,"(100, 100)","[0.5]",2,"0.800",0.438,0.038
f depth_bst,h_bal,False,"(200, 500)","[0.286]",2,"2.000",0.570,0.043
f depth_bst,height,True,"(1, 900)","[0.001]",2,"5.000",0.000,0.044
f depth_bst,min_stick,True,"(900, 1)","[0.999]",2,"0.100",-0.100,0.038
f depth_bst,stick,False,"(1000, 100)","[0.909]",2,"0.100",0.007,0.038
f depth_bst,uni_height,False,"(700, 1000)","[0.412]",2,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",648.653,0.043
f depth_tree,h_bal,False,"(400, 1000)","[0.286]",2,"1.500",0.097,0.051
f depth_tree,min_height,True,"(1000, 1)","[0.999]",2,"3.000",-3.000,0.049
f depth_tree,h_bal,False,"(900, 400)","[0.692]",2,"0.300",0.008,0.050
f depth_tree,height,False,"(100, 200)","[0.333]",2,"3.000",0.061,0.054
f depth_tree,stick,False,"(800, 1000)","[0.444]",2,"0.500",0.149,0.044
f depth_tree,stick,False,"(500, 500)","[0.5]",2,"0.800",0.454,0.044
f depth_tree,h_bal,False,"(300, 700)","[0.3]",2,"2.000",0.642,0.050
f depth_tree,min_stick,True,"(1000, 1)","[0.999]",2,"0.100",-0.100,0.044
f depth_tree,stick,False,"(100, 800)","[0.111]",2,"0.100",0.003,0.056
f depth_tree,uni_height,False,"(600, 700)","[0.462]",2,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",785.549,0.048
f even_list,min_len,True,"(1000, 1)","[0.999]",2,"5.000",-3.999,0.016
f even_list,nil,False,"(1000, 1000)","[0.5]",2,"0.100",0.100,0.016
f even_list,min_nil,True,"(1000, 1000)","[0.5]",2,"0.100",-0.100,0.015
f even_list,uni_len,False,"(100, 500)","[0.167]",2,"(1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000, 11.000)",226.066,0.016
f even_list,len,False,"(200, 1000)","[0.167]",2,"5.000",0.091,0.016
f rb_tree,black,False,"(1, 900, 800, 1)","[0.001, 0.999]",4,"0.200",0.133,6.640
f rb_tree,min_black,False,"(1, 1000, 1000, 1)","[0.001, 0.999]",4,"0.200",0.133,6.640
f rb_tree,black,True,"(300, 700, 200, 1)","[0.3, 0.995]",4,"0.400",0.000,6.553
f rb_tree,uni_height,False,"(1000, 200, 300, 700)","[0.833, 0.3]",4,"(2.000, 3.000, 4.000)",41.976,6.802
f rb_tree,black,True,"(400, 400, 100, 700)","[0.5, 0.125]",4,"0.600",0.000,6.614
f rb_tree,black,True,"(1, 1000, 700, 1)","[0.001, 0.999]",4,"0.333",0.000,6.589
p sized_list,min_len,True,"(1000, 1, 1000, 1)","[0.999, 0.999]",4,"5.000",-5.000,3.294
p sized_list,nil,True,"(100, 1000, 200, 1000)","[0.091, 0.167]",4,"0.100",0.000,3.211
p sized_list,uni_len,True,"(1, 1000, 900, 100)","[0.001, 0.9]",4,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",-15.450,3.495
p sized_list,min_nil,True,"(1, 1000, 1, 1000)","[0.001, 0.001]",4,"0.100",-0.100,3.238
p sized_list,len,True,"(100, 1000, 400, 700)","[0.091, 0.364]",4,"5.000",0.000,3.287
p depth_bst,min_height,True,"(1000, 1, 500, 1)","[0.999, 0.998]",4,"3.000",-3.000,9.278
p depth_bst,h_bal,True,"(1000, 400, 300, 400)","[0.714, 0.429]",4,"0.300",0.000,9.483
p depth_bst,stick,False,"(100, 400, 1000, 200)","[0.2, 0.833]",4,"0.500",0.076,8.599
p depth_bst,stick,False,"(1, 200, 1000, 1)","[0.005, 0.999]",4,"0.800",0.384,8.678
p depth_bst,h_bal,False,"(1, 500, 600, 1)","[0.002, 0.998]",4,"2.000",0.401,9.567
p depth_bst,height,True,"(1, 1000, 1, 900)","[0.001, 0.001]",4,"5.000",0.000,9.438
p depth_bst,min_stick,True,"(1000, 1, 900, 1)","[0.999, 0.999]",4,"0.100",-0.100,8.588
p depth_bst,stick,True,"(1000, 100, 100, 100)","[0.909, 0.5]",4,"0.100",0.000,8.636
p depth_bst,uni_height,False,"(1, 400, 1000, 1)","[0.002, 0.999]",4,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",162.005,9.539
p depth_tree,h_bal,False,"(1, 500, 800, 1)","[0.002, 0.999]",4,"1.500",0.003,10.581
p depth_tree,min_height,True,"(1000, 1, 200, 1)","[0.999, 0.995]",4,"3.000",-3.000,10.248
p depth_tree,h_bal,True,"(1000, 500, 500, 100)","[0.667, 0.833]",4,"0.300",0.000,10.572
p depth_tree,height,True,"(400, 900, 400, 500)","[0.308, 0.444]",4,"3.000",0.000,10.291
p depth_tree,stick,False,"(1, 200, 700, 100)","[0.005, 0.875]",4,"0.500",0.096,9.163
p depth_tree,stick,False,"(1, 200, 700, 1)","[0.005, 0.999]",4,"0.800",0.382,9.219
p depth_tree,h_bal,False,"(1, 400, 700, 1)","[0.002, 0.999]",4,"2.000",0.476,10.553
p depth_tree,min_stick,True,"(1000, 1, 1000, 1)","[0.999, 0.999]",4,"0.100",-0.100,9.472
p depth_tree,stick,True,"(1000, 100, 800, 200)","[0.909, 0.8]",4,"0.100",0.000,9.502
p depth_tree,uni_height,False,"(1, 200, 500, 1)","[0.005, 0.998]",4,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)",292.853,10.418
p even_list,min_len,True,"(1000, 1, 900, 1)","[0.999, 0.999]",4,"5.000",-4.000,3.861
p even_list,nil,False,"(1000, 1000, 1000, 1000)","[0.5, 0.5]",4,"0.100",0.100,3.768
p even_list,min_nil,True,"(1000, 1000, 1000, 1000)","[0.5, 0.5]",4,"0.100",-0.100,3.757
p even_list,uni_len,True,"(1, 800, 800, 100)","[0.001, 0.889]",4,"(1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000, 11.000)",-19.190,4.006
p even_list,len,False,"(200, 1000, 200, 200)","[0.167, 0.5]",4,"5.000",0.004,3.910
p sized_list_1_const,min_len,True,"(800, 1, 1)","[0.167, 0.5]",3,"5.000",-5.000,0.277
p sized_list_1_const,nil,True,"(1, 800, 900)","[0.167, 0.5]",3,"0.100",0.000,0.277
p sized_list_1_const,uni_len,True,"(1, 800, 1000)","[0.167, 0.5]",3,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",-0.182,0.292
p sized_list_1_const,min_nil,True,"(1, 1000, 1)","[0.167, 0.5]",3,"0.100",-0.100,0.275
p sized_list_1_const,len,False,"(1, 700, 800)","[0.167, 0.5]",3,"5.000",0.008,0.281
u sized_list,min_len,True,"(1000, 1, 1000, 900)","[0.999, 0.526]",2,"5.000",-5.000,2.359
u sized_list,nil,True,"(100, 1000, 600, 100)","[0.091, 0.857]",2,"0.100",0.000,2.293
u sized_list,uni_len,False,"(100, 600, 200, 900)","[0.143, 0.182]",2,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)",181.142,2.454
