data type,feature vector,#bool_gen,#weights,target,start dist,end dist,start score,end score,time
sized_list,nil,1,2,"0.100","0.491","0.100",0.391,0.000,5.228
sized_list,length,1,2,"5.000","0.992","5.005",4.008,0.005,7.510
depth_bst,balance,1,2,"0.300","0.809","0.300",0.509,0.000,17.805
depth_bst,stick,1,2,"0.500","0.354","0.391",0.146,0.109,19.966
depth_bst,height,1,2,"5.000","1.518","5.000",3.482,0.000,25.417
depth_tree,balance,1,2,"1.500","0.890","1.463",0.610,0.037,23.367
depth_tree,height,1,2,"3.000","1.530","3.000",1.470,0.000,14.803
depth_tree,stick,1,2,"0.100","0.338","0.100",0.238,0.000,15.190
even_list,length,1,2,"5.000","2.075","4.996",2.925,0.004,6.410
rb_tree,black,2,4,"0.400","0.533","0.400",0.133,0.000,30.159
